season,year,placement,username,user_id,payout
Sleeper_1,2019,1,Subject2Change,471147635869216768,200
Sleeper_1,2019,2,aleith,469319841732358144,115
Sleeper_1,2019,3,bbrbr,466716381887328256,35
Sleeper_1,2019,4,twtytwty,472234548525002752,0
Sleeper_2,2020,1,aleith,469319841732358144,200
Sleeper_2,2020,2,Dorothy,471806540358086656,115
Sleeper_2,2020,3,bbrbr,466716381887328256,35
Sleeper_2,2020,4,smlederer,465636493809938432,0
Sleeper_3,2021,1,H1nduHammer,731254033469263872,225
Sleeper_3,2021,2,bbrbr,466716381887328256,150
Sleeper_3,2021,3,smlederer,465636493809938432,45
Sleeper_3,2021,4,twtytwty,472234548525002752,0
Sleeper_4,2022,1,smlederer,465636493809938432,225
Sleeper_4,2022,2,HeMarv,728408081750405120,150
Sleeper_4,2022,3,mattdemichiel,469921663765442560,45
Sleeper_4,2022,4,H1nduHammer,731254033469263872,0
ESPN_1,2018,1,nlfish28,472159133173280768,200
ESPN_1,2018,2,smlederer,465636493809938432,115
ESPN_1,2018,3,NA,NA,35
ESPN_1,2018,4,NA,NA,0